EnhetNivaa,Nasjonaltkode,Fylkekode,Kommunekode,Organisasjonsnummer,Nasjonalt,Fylke,Kommune,EnhetNavn,EngPoints,EngSE,EngN,EngExc,EngMiss,ReadPoints,ReadSE,ReadN,ReadExc,ReadMiss,MathPoints,MathSE,MathN,MathExc,MathMiss
1,I,,,I,Hele landet,Alle fylker,Alle kommuner,Hele landet,51,0.1,58 288,5.9,1.5,50,0.1,58 028,6.3,1.4,50,0.1,58 605,5.4,1.5
2,I,42,,42,Hele landet,Agder,Alle kommuner,Agder,49,0.3,3 621,5.8,1.6,49,0.3,3 618,6.1,1.4,50,0.3,3 650,5.1,1.4
3,I,42,4203,4203,Hele landet,Agder,Arendal,Arendal,51,0.9,497,7,1.5,49,0.8,495,7.7,1.1,49,0.9,494,7,2.2
4,I,42,4203,990334021,Hele landet,Agder,Arendal,Arendal International School (Ais),61,2.8,20,0,9.1,51,4.7,17,22.7,,49,3.5,20,0,9.1
4,I,42,4203,975280888,Hele landet,Agder,Arendal,Asdal skole,49,2.6,35,,,50,2.2,35,,,51,2.1,33,12.8,2.6
4,I,42,4203,975283003,Hele landet,Agder,Arendal,Birkenlund skole,49,3.2,35,0,0,47,3.3,35,0,0,49,3.2,35,,
4,I,42,4203,975283208,Hele landet,Agder,Arendal,Eydehavn skole,52,4.5,13,,,51,5,13,,,50,4.1,13,,
4,I,42,4203,975283194,Hele landet,Agder,Arendal,Flosta skole,54,5.1,11,,,52,4.7,11,,,56,5.7,11,,
4,I,42,4203,982944694,Hele landet,Agder,Arendal,Hisøy skole 1-10 Skoler,53,3.8,33,0,0,53,3.3,33,0,0,53,4,33,0,0
4,I,42,4203,975282996,Hele landet,Agder,Arendal,Moltemyr skole,46,3.4,33,,,43,3.1,33,,,40,3.2,34,,
4,I,42,4203,975283216,Hele landet,Agder,Arendal,Myra skole,49,3.3,35,0,7.9,49,2.6,35,0,7.9,49,2.7,35,0,7.9
4,I,42,4203,975280845,Hele landet,Agder,Arendal,Nedenes skole,49,2.5,53,,,48,2.2,53,,,50,2.3,53,,
4,I,42,4203,975283186,Hele landet,Agder,Arendal,Nesheim skole,53,4.7,13,0,0,49,4.2,13,0,0,55,5.1,13,0,0
4,I,42,4203,875280902,Hele landet,Agder,Arendal,Roligheden skole Barne-/Ungdomstrinnet,53,3,39,,,52,3.1,39,,,53,3.2,37,,
4,I,42,4203,975280853,Hele landet,Agder,Arendal,Rykene oppvekstsenter Avd skole,57,3.7,28,,,50,4.4,29,,,54,3.9,27,,
4,I,42,4203,975280896,Hele landet,Agder,Arendal,Sandnes skole,52,3.8,23,,,48,3.9,23,,,53,3.3,24,,
4,I,42,4203,974117061,Hele landet,Agder,Arendal,St Franciskus skole,52,3.2,18,,,49,2.7,19,,,,,,,
4,I,42,4203,986078479,Hele landet,Agder,Arendal,Steinerskolen i Arendal,49,6.2,10,,,47,5.1,10,,,,,,,
4,I,42,4203,875283022,Hele landet,Agder,Arendal,Stinta skole barne- og Ungdomstrinnet,48,3.3,42,,,47,2.7,42,,,45,2.9,43,,
4,I,42,4203,975280837,Hele landet,Agder,Arendal,Strømmen oppvekstsenter Avd skole,48,4.2,20,,,48,3.1,20,,,50,4.5,20,,
4,I,42,4203,875283162,Hele landet,Agder,Arendal,Stuenes skole Barne- og Ungdomstrinn,47,3,36,,,45,2.6,35,,,46,2.4,35,,
3,I,42,4216,4216,Hele landet,Agder,Birkenes,Birkenes,45,1.9,89,,,47,1.8,88,,,47,2.1,90,,
4,I,42,4216,975283259,Hele landet,Agder,Birkenes,Birkeland skole,,,,,,,,,,,,,,,
4,I,42,4216,975283275,Hele landet,Agder,Birkenes,Engesland skole,,,,0,0,,,,0,0,,,,0,0
4,I,42,4216,975283267,Hele landet,Agder,Birkenes,Herefoss skole,,,,0,0,,,,0,40,,,,0,0
3,I,42,4220,4220,Hele landet,Agder,Bygland,Bygland,50,5.4,10,,,47,3.2,10,,,46,6.5,11,0,0
4,I,42,4220,975280985,Hele landet,Agder,Bygland,Bygland oppvekstsenter Avd skule,,,,0,0,,,,0,0,,,,0,0
4,I,42,4220,975280993,Hele landet,Agder,Bygland,Byglandsfjord oppvekstsenter Avd skule,,,,,,,,,,,,,,0,0
3,I,42,4222,4222,Hele landet,Agder,Bykle,Bykle,49,3.5,11,,,51,3.7,11,,,45,6,11,,
4,I,42,4222,975281035,Hele landet,Agder,Bykle,Bykle barne- og ungdomsskule,,,,,,,,,,,,,,,
4,I,42,4222,975296822,Hele landet,Agder,Bykle,Fjellgardane skule,,,,0,0,,,,0,0,,,,0,0
3,I,42,4219,4219,Hele landet,Agder,Evje og Hornnes,Evje og Hornnes,50,2.8,44,,,48,2.9,43,,,50,3,43,,
4,I,42,4219,975280942,Hele landet,Agder,Evje og Hornnes,Evje barneskule,48,3.4,31,,,48,3.5,30,,,48,3.5,30,,
4,I,42,4219,975280950,Hele landet,Agder,Evje og Hornnes,Hornnes barneskule,53,4.8,13,0,7.1,49,5.3,13,0,7.1,53,5.4,13,0,7.1
3,I,42,4206,4206,Hele landet,Agder,Farsund,Farsund,48,1.9,102,5.6,,51,1.8,99,8.3,,50,1.9,99,8.3,
4,I,42,4206,975271382,Hele landet,Agder,Farsund,Borhaug skole,44,4.3,19,,,48,4.4,18,,,48,5.2,17,,
4,I,42,4206,973839942,Hele landet,Agder,Farsund,Farsund barneskole,49,3.4,33,,,54,3,31,,,54,2.6,32,,
4,I,42,4206,975271404,Hele landet,Agder,Farsund,Vanse skole,49,2.8,50,0,0,50,2.4,50,0,0,47,2.7,50,0,0
3,I,42,4207,4207,Hele landet,Agder,Flekkefjord,Flekkefjord,49,2.2,87,8.4,,47,1.8,87,7.4,1.1,50,2.1,86,7.4,2.1
4,I,42,4207,975271455,Hele landet,Agder,Flekkefjord,Gyland skole,,,,,,,,,0,0,,,,,
4,I,42,4207,975271447,Hele landet,Agder,Flekkefjord,Hidra skole,,,,0,,,,,0,0,,,,0,0
4,I,42,4207,975271463,Hele landet,Agder,Flekkefjord,Sira skole,45,4.2,11,0,0,47,3.4,11,0,0,53,5.9,11,0,0
4,I,42,4207,975271439,Hele landet,Agder,Flekkefjord,Sunde skole,51,2.6,68,,,47,2.2,67,9.3,1.3,49,2.4,67,,
3,I,42,4214,4214,Hele landet,Agder,Froland,Froland,49,2,87,11.2,,49,1.7,91,7.1,,49,2,86,12.2,
4,I,42,4214,921248253,Hele landet,Agder,Froland,Froland barneskole,,,,11.6,,,,,7.4,,,,,12.6,
4,I,42,4214,974583321,Hele landet,Agder,Froland,Mykland skole,,,,0,,,,,0,0,,,,0,
3,I,42,4211,4211,Hele landet,Agder,Gjerstad,Gjerstad,42,3.2,21,,,47,3.7,21,,,43,4.6,20,,
4,I,42,4211,975283046,Hele landet,Agder,Gjerstad,Abel skole,42,3.2,21,,,47,3.7,21,,,43,4.6,20,,
3,I,42,4202,4202,Hele landet,Agder,Grimstad,Grimstad,50,1.2,272,3.1,4.1,51,1.1,272,3.4,3.8,51,1.1,275,2.7,3.4
4,I,42,4202,973812793,Hele landet,Agder,Grimstad,Eide skole,,,,,,,,,,,,,,,
4,I,42,4202,974548801,Hele landet,Agder,Grimstad,Fevik skole,49,2.5,48,,,50,2.4,48,,,51,2.8,48,,
4,I,42,4202,974548844,Hele landet,Agder,Grimstad,Fjære barneskole,52,3.4,40,,,50,2.2,43,,,51,2.6,41,,
4,I,42,4202,974548798,Hele landet,Agder,Grimstad,Frivoll skole,,,,0,4.5,,,,,,,,,,
4,I,42,4202,986109110,Hele landet,Agder,Grimstad,Hesnes skole montessoriskolen i Grimstad,,,,,,,,,,,,,,,
4,I,42,4202,974548828,Hele landet,Agder,Grimstad,Holviga barneskole,49,2.5,60,,,54,2.3,59,,,53,2.2,61,,
4,I,42,4202,982944627,Hele landet,Agder,Grimstad,Jappa skole,50,3.6,32,0,13.5,49,3.4,32,0,13.5,48,3.7,35,0,5.4
4,I,42,4202,974548771,Hele landet,Agder,Grimstad,Landvik skole,45,2.2,55,0,5.2,47,2.1,54,0,6.9,48,2.7,54,0,6.9
3,I,42,4226,4226,Hele landet,Agder,Hægebostad,Hægebostad,43,2.7,25,,,46,3.1,25,,,51,3.2,26,0,0
4,I,42,4226,974609525,Hele landet,Agder,Hægebostad,Eiken skule,,,,,,,,,,,,,,0,0
4,I,42,4226,975271765,Hele landet,Agder,Hægebostad,Kollemo skule,,,,0,0,,,,0,0,,,,0,0
3,I,42,4218,4218,Hele landet,Agder,Iveland,Iveland,45,4.1,13,0,7.1,42,3.8,14,0,0,43,3.3,14,0,0
4,I,42,4218,975280934,Hele landet,Agder,Iveland,Iveland skole,45,4.1,13,0,7.1,42,3.8,14,0,0,43,3.3,14,0,0
3,I,42,4204,4204,Hele landet,Agder,Kristiansand,Kristiansand,50,0.5,1 338,5.4,1.3,50,0.5,1 334,5.6,1.4,50,0.5,1 351,4.3,1.1
4,I,42,4204,974598825,Hele landet,Agder,Kristiansand,Brattbakken skole,49,2.3,79,,,48,2.2,76,,,48,2.3,79,,
4,I,42,4204,974598787,Hele landet,Agder,Kristiansand,Fagerholt skole,48,2.1,72,,,53,2.1,71,,,53,2,74,0,0
4,I,42,4204,975271544,Hele landet,Agder,Kristiansand,Finsland skole,,,,0,14.3,46,4.2,14,0,0,42,6.5,14,0,0
4,I,42,4204,874598542,Hele landet,Agder,Kristiansand,Flekkerøy skole,47,2.4,59,,,50,2.2,60,0,3.2,51,2.8,61,0,1.6
4,I,42,4204,974598620,Hele landet,Agder,Kristiansand,Hellemyr skole,51,2.4,60,,,47,2.2,60,,,46,2.5,60,,
4,I,42,4204,974598469,Hele landet,Agder,Kristiansand,Hellemyr skole Kompetanse,,,0,,,,,0,,,,,,,
4,I,42,4204,974598795,Hele landet,Agder,Kristiansand,Justvik skole,47,3.8,30,,,47,3.5,28,,,49,3.3,29,,
4,I,42,4204,974598639,Hele landet,Agder,Kristiansand,Karl Johans Minne skole,52,3.2,33,,,49,3,32,,,49,3.4,34,,
4,I,42,4204,984181345,Hele landet,Agder,Kristiansand,Karuss skole,49,3.7,27,0,0,49,3.1,27,0,0,46,3.7,27,0,0
4,I,42,4204,974598868,Hele landet,Agder,Kristiansand,Kringsjå skole,55,3.3,40,,,58,3,41,,,58,3,41,,
4,I,42,4204,991156224,Hele landet,Agder,Kristiansand,Kristiansand Internasjonale skole,,,,90.5,0,,,,71.4,0,,,,71.4,0
4,I,42,4204,974598671,Hele landet,Agder,Kristiansand,Krossen skole,50,4.8,13,,,,,,,,,,,,
4,I,42,4204,995682257,Hele landet,Agder,Kristiansand,Krossen skole - Kompetanse,,,0,,,,,0,,,,,0,,
4,I,42,4204,975271595,Hele landet,Agder,Kristiansand,Langenes skole,46,3.9,21,,,45,4.2,21,,,47,4.8,21,,
4,I,42,4204,974598744,Hele landet,Agder,Kristiansand,Lovisenlund skole,48,2.2,55,8.3,,52,2.4,55,8.3,,51,2,55,8.3,
4,I,42,4204,975288935,Hele landet,Agder,Kristiansand,Lunde skole,49,2.1,55,,,49,2,53,,,46,2.2,54,,
4,I,42,4204,974598701,Hele landet,Agder,Kristiansand,Mosby oppvekssenter skole,49,3.2,27,0,3.6,50,2.8,28,0,0,47,3.5,28,0,0
4,I,42,4204,975271587,Hele landet,Agder,Kristiansand,Nygård skole,51,2.9,44,,,50,2.3,46,,,47,2.5,46,,
4,I,42,4204,985315469,Hele landet,Agder,Kristiansand,Oasen skole Birkelid AS,48,6.3,17,,,45,5.6,17,,,43,6.4,17,,
4,I,42,4204,915828701,Hele landet,Agder,Kristiansand,Oasen skole Strømme AS,,,,0,7.7,51,3.8,12,0,7.7,,,,0,15.4
4,I,42,4204,819260702,Hele landet,Agder,Kristiansand,Oasen skole Vågsbygd AS,,,,0,0,,,,0,0,,,,0,0
4,I,42,4204,979956916,Hele landet,Agder,Kristiansand,Odderhei skole,51,2.1,64,0,4.5,53,1.9,66,0,1.5,54,1.9,64,0,4.5
4,I,42,4204,980447766,Hele landet,Agder,Kristiansand,Presteheia skole,49,2.6,49,0,0,51,2.4,49,0,0,51,2.9,49,0,0
4,I,42,4204,975290689,Hele landet,Agder,Kristiansand,Rosseland skole,55,3.3,18,21.7,,50,3.7,18,21.7,,52,2.6,19,,
4,I,42,4204,974117053,Hele landet,Agder,Kristiansand,Samfundets skole Sentrum,49,5.4,14,0,0,58,3.7,14,0,0,54,5.2,13,,
4,I,42,4204,974598558,Hele landet,Agder,Kristiansand,Sjøstrand skole,51,2.7,45,11.8,,50,2.4,45,11.8,,51,2.6,48,,
4,I,42,4204,974598604,Hele landet,Agder,Kristiansand,Slettheia skole,50,2.9,50,,,48,2.5,50,,,48,2.8,49,,
4,I,42,4204,974598655,Hele landet,Agder,Kristiansand,Solholmen skole,54,2.6,33,0,2.9,47,2.7,31,,,49,2.9,31,,
4,I,42,4204,873501162,Hele landet,Agder,Kristiansand,Steinerskolen i Kristiansand,40,6.7,13,0,7.1,,,,0,35.7,36,6.1,13,0,7.1
4,I,42,4204,974598833,Hele landet,Agder,Kristiansand,Strømme skole,53,2.6,49,,,50,2,49,,,53,2,49,,
4,I,42,4204,874598712,Hele landet,Agder,Kristiansand,Tordenskjoldsgate skole,51,3.6,21,0,4.5,49,3.8,21,0,4.5,46,5.6,22,0,0
4,I,42,4204,874598682,Hele landet,Agder,Kristiansand,Torridal skole,51,3.7,31,0,0,50,3.4,29,0,6.5,55,3.5,29,,
4,I,42,4204,979646275,Hele landet,Agder,Kristiansand,Tunballen skole,50,2.9,36,,,47,2.3,37,,,50,2.9,38,,
4,I,42,4204,974598817,Hele landet,Agder,Kristiansand,Vardåsen skole,49,2.8,48,,,52,2.4,48,,,51,2.1,50,,
