EnhetNivaa,Nasjonaltkode,Fylkekode,Kommunekode,Organisasjonsnummer,Nasjonalt,Fylke,Kommune,EnhetNavn,E.8.B,E.8.B.u,E.8.B.N,E.8.G,E.8.G.u,E.8.G.N,R.8.B,R.8.B.u,R.8.B.N,R.8.G,R.8.G.u,R.8.G.N,M.8.B,M.8.B.u,M.8.B.N,M.8.G,M.8.G.u,M.8.G.N
4,I,3,301,974589966,Hele landet,Oslo,Oslo,Linderud skole,42,3,28,48,3.9,20,39,2.2,28,45,4.2,23,40,2.5,28,43,4.7,22
4,I,54,5428,975268586,Hele landet,Troms og Finnmark - Romsa ja Finnmárku - Tromssa ja Finmarkku,Nordreisa - Ráisa - Raisi,Storslett skole,43,4.9,21,46,4.5,21,41,5,21,43,4.1,23,44,4.7,22,41,5,22
4,I,42,4205,975271609,Hele landet,Agder,Lindesnes,Øyslebø skole,44,3.6,13,43,4,11,42,3.8,14,43,2.9,11,47,4.8,14,40,3,11
4,I,3,301,974590549,Hele landet,Oslo,Oslo,Haugenstua skole,45,3.5,33,49,2.4,45,42,2.4,31,49,2.7,44,47,3.5,34,48,2.4,44
4,I,42,4204,985315469,Hele landet,Agder,Kristiansand,Oasen skole Birkelid AS,46,7,10,46,4.9,13,42,7.7,11,49,7.9,11,,,,,,
4,I,30,3044,875284932,Hele landet,Viken,Hol,Geilo barne- og ungdomsskole,46,4.9,22,48,2.8,20,42,3.3,20,48,4.5,19,47,3.9,21,48,4.2,21
4,I,3,301,974590468,Hele landet,Oslo,Oslo,Lindeberg skole,47,3.3,30,50,3.3,36,42,3.1,30,47,2.9,36,46,2.9,30,42,2.7,36
4,I,3,301,974590115,Hele landet,Oslo,Oslo,Rommen skole,48,2.8,41,51,2.8,30,42,2.3,41,47,2.7,30,45,2.5,39,45,2.5,30
4,I,11,1106,984065159,Hele landet,Rogaland,Haugesund,Skåredalen skole,51,3.5,27,50,4,25,42,2.8,27,44,2.4,25,51,4.3,27,48,2.6,24
4,I,50,5035,980851176,Hele landet,Trøndelag - Trööndelage,Stjørdal,Hegra ungdomsskole,43,4.1,21,45,3.5,21,43,3.7,21,46,2.6,22,46,4.4,21,41,2.8,22
4,I,50,5038,974036606,Hele landet,Trøndelag - Trööndelage,Verdal,Vuku barne- og ungdomsskole,44,3,24,44,4.2,22,43,2.8,25,46,4,22,48,2.6,25,45,3.1,22
4,I,54,5403,984606060,Hele landet,Troms og Finnmark - Romsa ja Finnmárku - Tromssa ja Finmarkku,Alta,Sandfallet ungdomsskole,45,3.5,35,47,3,43,43,3.1,35,49,3.2,43,46,3.2,34,43,2.4,43
4,I,50,5038,975279340,Hele landet,Trøndelag - Trööndelage,Verdal,Verdalsøra ungdomsskole,45,2.1,72,46,2.1,54,43,1.8,72,47,1.8,54,49,1.8,73,47,2.3,54
4,I,18,1868,975288129,Hele landet,Nordland,Øksnes,Myre skole,46,3.9,20,49,3.4,22,43,5.5,19,47,3.7,23,45,4.6,20,47,3.5,21
4,I,46,4632,975285863,Hele landet,Vestland,Austrheim,Årås skule,46,5.5,10,51,4.1,23,43,5.6,10,49,3.9,23,49,6.4,10,47,3.2,22
4,I,11,1149,875290282,Hele landet,Rogaland,Karmøy,Stangeland ungdomsskole,47,2.6,41,49,2.2,57,43,2.1,42,49,2.5,59,49,2.5,41,47,2.4,58
4,I,54,5435,975280047,Hele landet,Troms og Finnmark - Romsa ja Finnmárku - Tromssa ja Finmarkku,Nordkapp,Honningsvåg skole,47,4.4,24,43,5.2,12,43,4.1,25,42,3.6,12,45,4.1,25,44,4,11
4,I,38,3803,975268683,Hele landet,Vestfold og Telemark,Tønsberg,Byskogen Kombinerte skole,47,3.7,38,49,2.7,27,43,2.7,38,48,2.6,26,46,3.6,38,43,3.1,27
4,I,30,3004,974565420,Hele landet,Viken,Fredrikstad,Cicignon skole,47,3.3,23,50,2.6,42,43,3.1,20,45,2.8,42,47,3.6,20,43,3,43
4,I,15,1547,975283372,Hele landet,Møre og Romsdal,Aukra,Julsundet skole,48,3.5,22,48,4.2,14,43,2.9,22,52,5,14,47,3.5,22,48,4.2,14
4,I,3,301,913511085,Hele landet,Oslo,Oslo,Granstangen skole,48,2.8,50,49,2.2,68,43,2.4,50,45,1.9,68,47,2.8,51,45,2.4,67
4,I,50,5025,975282775,Hele landet,Trøndelag - Trööndelage,Røros,Røros skole,48,3.1,31,49,3.8,28,43,3.3,32,52,3.6,27,44,3.2,32,48,3.6,27
4,I,50,5001,875290142,Hele landet,Trøndelag - Trööndelage,Trondheim,Sjetne skole,48,4.5,21,50,3,40,43,5,21,49,3.4,39,45,3.6,24,45,2.7,39
4,I,42,4202,914142008,Hele landet,Agder,Grimstad,Drottningborg ungdomsskole AS,50,5.2,17,49,3.2,27,43,3.6,18,45,2,31,53,4.9,18,49,2.8,30
4,I,34,3442,875290622,Hele landet,Innlandet,Østre Toten,Lena ungdomsskole,45,3.3,37,46,2.4,31,44,3,37,52,2.8,31,47,3.1,35,45,3.1,31
4,I,15,1563,974016370,Hele landet,Møre og Romsdal,Sunndal,Sunndal ungdomsskole,45,3.9,29,48,2.7,36,44,3.4,29,51,3.1,36,48,2.7,28,46,3,36
