"";"formaal";"reisetid";"reisemiddel";"ind";"NR";"dato";"arbeidsplass";"student";"fastoppmoete";"hjemmekontor";"arbeidstid";"yrke";"kjoenn";"alder";"alderskategori";"barn";"voksne";"totmedlem";"husholdning";"Kommunenavn";"fylke";"day";"hverdag";"antall_reiser";"tottid";"tellekategori";"annerledes_janei";"mindrekollektiv";"annettidspunkt";"mer_bil";"mer_sykkelgange";"monthyear";"tidskategori";"ID";"car_driver_boo"
"1";"Freetime activities";23;"Public transportation";"delreise 1.1";10013439;"2020-10-21";"Office job, research, administration";"Not student";NA;"Work from home";"Standard Business Day";"Full-time";"Female";24;"18 - 24";0;2;2;"Couple w/o children";"OSLO";"OSLO";"Wed";"Weekday";2;48;"1-2 trips";"Ja";0;0;0;0;"Oct'20";"15 - 30 min";10013439;0
"2";"To/from workplace";5;"Car, driver";"delreise 1.1";10013618;"2020-10-21";"Industry, agriculture, craftmanship";"Not student";NA;NA;"Flextime";"Full-time";"Female";25;"25 - 34";0;1;1;"Single w/o children";"ULLENSVANG";"VESTLAND";"Wed";"Weekday";4;15;"3-4 trips";"Nei";0;0;0;0;"Oct'20";"< 5 min";10013618;1
"3";"To/from workplace";35;"Public transportation";"delreise 1.1";10013753;"2020-10-21";"Office job, research, administration";"Not student";NA;NA;"Flextime";"Full-time";"Female";24;"18 - 24";0;2;2;"Several adults";"OSLO";"OSLO";"Wed";"Weekday";3;65;"3-4 trips";"Nei";0;0;0;0;"Oct'20";"30 - 60 min";10013753;0
"4";"School/university";10;"Pedal bike";"delreise 1.1";10013791;"2020-10-21";NA;"Student";NA;NA;NA;"Student, higher education";"Female";25;"25 - 34";0;3;3;"Several adults";"TRONDHEIM";"TROENDELAG";"Wed";"Weekday";5;65;"5-6 trips";"Nei";0;0;0;0;"Oct'20";"5 - 10 min";10013791;0
"5";"To/from workplace";25;"Car, driver";"delreise 1.1";10014088;"2020-10-21";"Industry, agriculture, craftmanship";"Not student";NA;NA;"Standard Business Day";"Full-time";"Female";25;"25 - 34";0;3;3;"Several adults";"HOLMESTRAND";"VESTFOLD OG TELEMARK";"Wed";"Weekday";1;25;"1-2 trips";"Nei";0;0;0;0;"Oct'20";"15 - 30 min";10014088;1
"6";"School/university";20;"Public transportation";"delreise 1.1";10014195;"2020-10-21";NA;"Student";NA;NA;NA;"Student, higher education";"Male";30;"25 - 34";0;1;1;"Single w/o children";"TRONDHEIM";"TROENDELAG";"Wed";"Weekday";1;20;"1-2 trips";"Nei";0;0;0;0;"Oct'20";"15 - 30 min";10014195;0
"7";"Shopping/grocery/service";25;"Public transportation";"delreise 1.1";10014300;"2020-10-21";NA;"Student";NA;NA;NA;"Student, higher education";"Female";26;"25 - 34";0;2;2;"Several adults";"TRONDHEIM";"TROENDELAG";"Wed";"Weekday";6;103;"5-6 trips";"Ja";1;1;0;1;"Oct'20";"15 - 30 min";10014300;0
"8";"Freetime activities";24;"Public transportation";"delreise 1.1";10014315;"2020-10-21";"Office job, research, administration";"Not student";NA;NA;"Standard Business Day";"Full-time";"Female";24;"18 - 24";0;2;2;"Several adults";"OSLO";"OSLO";"Wed";"Weekday";2;50;"1-2 trips";"Nei";0;0;0;0;"Oct'20";"15 - 30 min";10014315;0
"9";"School/university";11;"Public transportation";"delreise 1.1";10014378;"2020-10-21";NA;"Student";NA;NA;NA;"Student, higher education";"Female";28;"25 - 34";0;2;2;"Couple w/o children";NA;NA;"Wed";"Weekday";2;23;"1-2 trips";"Ja";0;0;0;0;"Oct'20";"10 - 15 min";10014378;0
"10";"Freetime activities";40;"Car, driver";"delreise 1.1";10014556;"2020-10-21";"Office job, research, administration";"Not student";NA;NA;"Flextime";"Full-time";"Female";26;"25 - 34";0;2;2;"Couple w/o children";NA;NA;"Wed";"Weekday";2;80;"1-2 trips";"Nei";0;0;0;0;"Oct'20";"30 - 60 min";10014556;1
"11";"To/from workplace";10;"Public transportation";"delreise 1.1";10014592;"2020-10-21";"Office job, research, administration";"Not student";NA;NA;"Standard Business Day";"Full-time";"Female";25;"25 - 34";0;3;3;"Several adults";"TRONDHEIM";"TROENDELAG";"Wed";"Weekday";3;35;"3-4 trips";"Ja";0;1;0;0;"Oct'20";"5 - 10 min";10014592;0
